Id,Start,End,Title,Link,kicker,Category,Type,Authors,PubType
100000003863496,Sun-9-17-2017-9PM,Mon-9-18-2017-6AM,"Penny Chenery, Owner of the Triple Crown Winner Secretariat, Dies at 95",https://www.nytimes.com/2017/09/17/sports/horse-racing/penny-chenery-dead.html,None,Sports,article,[ Richard Goldstein -],AddRem
100000005261282,Sun-9-17-2017-9PM,Sun-9-17-2017-9PM,Emmys 2017: Where to Stream the Best Nominated Shows,https://www.nytimes.com/2017/07/14/watching/emmy-nominated-shows-where-to-stream.html,None,Arts,article,[ Judy Berman -],AddRem
100000005216966,Sun-9-17-2017-11PM,Mon-9-18-2017-12PM,"In Alaska�۪s Far-Flung Villages, Happiness Is a Cake Mix",https://www.nytimes.com/2017/09/17/dining/cake-mix-alaska.html,None,Food,article,[ Julia O�۪Malley -],AddRem
100000005388472,Mon-9-18-2017-6AM,Mon-9-18-2017-12PM,Nonfiction: Survival of the Prettiest,https://www.nytimes.com/2017/09/18/books/review/evolution-of-beauty-richard-prum-charles-darwin.html,Nonfiction,Arts,article,[ David Dobbs -],AddRem
100000005390731,Sun-9-17-2017-9PM,Mon-9-18-2017-5AM,When Affirmative Action Isn�۪t Enough,https://www.nytimes.com/2017/09/17/us/affirmative-action-college.html,None,U.S.,article,[ Dana Goldstein -],AddRem
100000005398470,Mon-9-18-2017-7AM,Mon-9-18-2017-12PM,"In Fashion, the Beauty (and Challenge) of Looking Back",https://www.nytimes.com/2017/09/18/t-magazine/fashion-house-archives-inspiration.html,None,Magazine,article,[ Alexander Fury -],AddRem
100000005411974,Mon-9-18-2017-9AM,Mon-9-18-2017-12PM,"What's Selling Now: Homes That Sold for Around $600,000",https://www.nytimes.com/2017/09/17/realestate/homes-that-sold-for-around-600000.html,What's Selling Now,Real Estate,article,[ C. J. Hughes -],AddRem
100000005413195,Mon-9-18-2017-6AM,Mon-9-18-2017-3PM,"���Friends,�۪ the Sitcom That�۪s Still a Hit in Major League Baseball",https://www.nytimes.com/2017/09/18/sports/baseball/friends-tv-show-baseball-spanish.html,None,Sports,article,[ James Wagner -],AddRem
100000005420194,Sun-9-17-2017-9PM,Mon-9-18-2017-5AM,Knife-Throwing as a Sport: Who Would Have Thunk It?,https://www.nytimes.com/2017/09/15/sports/knife-throwing-sport.html,None,Sports,article,[ Pete Croatto -],AddRem
100000005420419,Mon-9-18-2017-1AM,Mon-9-18-2017-5AM,"Europe Edition: United Nations, Facebook, Hamas: Your Monday Briefing",https://www.nytimes.com/2017/09/18/briefing/united-nations-facebook-hamas.html,Europe Edition,Briefing,article,[ Patrick Boehler -],AddRem
100000005421607,Mon-9-18-2017-6AM,Mon-9-18-2017-1PM,"Hurricane Maria, Rohingya, Emmy Awards: Your Monday Briefing",https://www.nytimes.com/2017/09/18/briefing/hurricane-maria-rohingya-emmy-awards.html,None,Briefing,article,[ Mark A. Walsh -],AddRem
100000005426969,Mon-9-18-2017-6AM,Mon-9-18-2017-3PM,Review: The Emmys Figured Out How to Handle Trump,https://www.nytimes.com/2017/09/18/arts/television/review-emmys.html,None,Arts,article,[ Mike Hale -],AddRem
100000005427047,Sun-9-17-2017-9PM,Mon-9-18-2017-3PM,"Amid Opioid Crisis, Insurers Restrict Pricey, Less Addictive Painkillers",https://www.nytimes.com/2017/09/17/health/opioid-painkillers-insurance-companies.html,None,Health,article,[ Katie Thomas - Charles Ornstein -],AddRem
100000005431302,Sun-9-17-2017-9PM,Mon-9-18-2017-3PM,When the Rescuers Come From Across the Country,https://www.nytimes.com/2017/09/17/us/irma-fema-rescue-florida-keys.html,None,U.S.,article,[ Alan Blinder -],AddRem
100000005431346,Sun-9-17-2017-11PM,Mon-9-18-2017-12PM,"Dylan, Obama and a Crown of Thorns: 50 Years of Rolling Stone",https://www.nytimes.com/2017/09/17/business/media/rolling-stone-covers.html,None,Business,article,[ Sydney Ember - Ben Sisario -],AddRem
100000005431399,Mon-9-18-2017-2AM,Mon-9-18-2017-3PM,"Emmy 2017 Speeches: Alec Baldwin, Lena Waithe, Donald Glover and More",https://www.nytimes.com/2017/09/17/arts/television/emmys-speeches.html,None,Arts,article,[ Sopan Deb -],AddRem
100000005431407,Sun-9-17-2017-11PM,Mon-9-18-2017-2PM,Stephen Colbert�۪s Emmys Opening Monologue,https://www.nytimes.com/2017/09/17/arts/television/colbert-emmys.html,None,Arts,article,[ Sopan Deb -],AddRem
100000005433477,Sun-9-17-2017-9PM,Sun-9-17-2017-10PM,"The United Nations Explained: Its Purpose, Power and Problems",https://www.nytimes.com/2017/09/17/world/americas/united-nations-un-explainer.html,None,World,article,[ Somini Sengupta -],AddRem
100000005434654,Sun-9-17-2017-9PM,Mon-9-18-2017-3PM,"Why Are Drug Prices So High? We�۪re Curious, Too",https://www.nytimes.com/2017/09/17/insider/insider-high-drug-prices-opioids.html,None,Insider,article,[ Katie Thomas - Charles Ornstein -],AddRem
100000005434785,Sun-9-17-2017-9PM,Mon-9-18-2017-3PM,"The Rare, Potent Fuel Powering North Korea�۪s Weapons",https://www.nytimes.com/2017/09/17/world/asia/north-korea-rocket-fuel-missiles.html,None,World,article,[ William J. Broad - David E. Sanger -],AddRem
