Id,Start,End,Title,Link,kicker,Category,Type,Authors,PubType
100000004612619,Mon-9-18-2017-6AM,Mon-9-18-2017-6PM,Facebook Faces a New World as Officials Rein In a Wild Web,https://www.nytimes.com/2017/09/17/technology/facebook-government-regulations.html,None,Tech,article,[ Paul Mozur - Mark Scott - Mike Isaac -],Added
100000005254541,Mon-9-18-2017-6PM,Mon-9-18-2017-6PM,F.Y.I.: Manhattan�۪s Confusing Avenue Addresses,https://www.nytimes.com/2017/09/15/nyregion/manhattans-confusing-avenue-addresses.html,F.Y.I.,NY,article,[ Keith Williams -],Added
100000005257608,Mon-9-18-2017-1PM,Mon-9-18-2017-6PM,A Down Payment With a Catch: You Must Be an Airbnb Host,https://www.nytimes.com/2017/09/18/your-money/mortgages/loftium-airbnb-down-payment.html,None,Business,article,[ Tara Siegel Bernard -],Added
100000005372234,Mon-9-18-2017-7AM,Mon-9-18-2017-6PM,"Crime: Bad Neighbors, Bad Husbands and Very Bad Behavior",https://www.nytimes.com/2017/09/13/books/review/thomas-mullen-lightning-men-new-crime-fiction.html,Crime,Arts,article,[ Marilyn Stasio -],Added
100000005391163,Mon-9-18-2017-4PM,Mon-9-18-2017-6PM,The Workologist: When Colleagues Won�۪t Stop Talking Politics,https://www.nytimes.com/2017/09/01/jobs/when-colleagues-wont-stop-talking-politics.html,The Workologist,Business,article,[ Rob Walker -],Added
100000005412847,Mon-9-18-2017-6AM,Mon-9-18-2017-6PM,Witness a Changing Amazon,https://www.nytimes.com/video/climate/100000005412847/witness-a-changing-amazon.html,None,Science,video,None,Added
100000005415787,Mon-9-18-2017-4PM,Mon-9-18-2017-6PM,What Happens When Marcus Samuelsson Takes Harlem to London?,https://www.nytimes.com/2017/09/18/travel/red-rooster-london-shoreditch-marcus-samuelsson.html,None,Travel,article,[ Nikita Stewart -],Added
100000005417798,Mon-9-18-2017-1PM,Mon-9-18-2017-6PM,On the Market: Homes for Sale in Toronto,https://www.nytimes.com/2017/09/18/realestate/homes-for-sale-in-toronto.html,On the Market,Real Estate,article,[ Tara Deschamps -],Added
100000005421816,Mon-9-18-2017-1PM,Mon-9-18-2017-6PM,Personal Journeys: From Poland to Lithuania: A Writer�۪s Search for Her Jewish Past,https://www.nytimes.com/2017/09/18/travel/jewish-heritage-travel-poland-lithuania.html,Personal Journeys,Travel,article,[ Charly Wilder -],Added
100000005425791,Mon-9-18-2017-6AM,Mon-9-18-2017-6PM,"A Police Bombing, Homes on Fire and an Opera That Grapples With It All",https://www.nytimes.com/2017/09/15/arts/music/move-bombing-opera-philadelphia-bill-t-jones.html,None,Arts,article,[ Salamishah Tillet -],Added
100000005426829,Mon-9-18-2017-1PM,Mon-9-18-2017-6PM,Try These ���Love Hacks�۪ to Fix Your Marriage,https://www.nytimes.com/2017/09/18/well/family/try-these-love-hacks-to-fix-your-marriage.html,None,Health,article,[ John Tierney -],Added
100000005428210,Mon-9-18-2017-4PM,Mon-9-18-2017-6PM,By Degrees: The Real Unknown of Climate Change: Our Behavior,https://www.nytimes.com/2017/09/18/climate/climate-change-denial.html,By Degrees,Science,article,[ Justin Gillis -],Added
