date,value
Sun-9-17-2017-6PM,39
Sun-9-17-2017-7PM,39
Sun-9-17-2017-8PM,39
Sun-9-17-2017-9PM,44
Sun-9-17-2017-10PM,45
Sun-9-17-2017-11PM,47
Sun-9-17-2017-12AM,46
Mon-9-18-2017-1AM,45
Mon-9-18-2017-2AM,45
Mon-9-18-2017-3AM,45
Mon-9-18-2017-4AM,46
Mon-9-18-2017-5AM,46
Mon-9-18-2017-6AM,48
Mon-9-18-2017-7AM,48
Mon-9-18-2017-8AM,48
Mon-9-18-2017-9AM,49
Mon-9-18-2017-10AM,49
Mon-9-18-2017-11AM,49
Mon-9-18-2017-12PM,52
Mon-9-18-2017-1PM,49
Mon-9-18-2017-2PM,45
Mon-9-18-2017-3PM,45
Mon-9-18-2017-4PM,41
Mon-9-18-2017-5PM,42
Mon-9-18-2017-6PM,44
