GenCat,Title,Url,Author,BuildDate,BuildTime,Scaling,PubDate,PubTime,OnlineDays,OnlineTime,Kicker,KickerTitle,DeltaDays,Id
"Arts","Crime: Bad Neighbors, Bad Husbands and Very Bad Behavior","https://www.nytimes.com/2017/09/13/books/review/thomas-mullen-lightning-men-new-crime-fiction.html","Marilyn Stasio","9/18/17","21:44:11",3000,"9/13/17","09:00:25","5 days","12:43:46","Yes", "Crime","More than 5 days",100000005372234
"World","Gay Parents Become Activists in Australian Marriage Debate","https://www.nytimes.com/2017/09/13/world/australia/gay-marriage-children.html","Adam Baidawi","9/18/17","21:44:11",3000,"9/13/17","21:01:16","5 days","0:42:55","No","None","More than 5 days",100000005427746
"Arts","Album Review: Foo Fighters Stand Up for the Power of Rock (Again) on Concrete and Gold","https://www.nytimes.com/2017/09/13/arts/music/foo-fighters-concrete-and-gold-review.html","Jon Pareles","9/18/17","08:41:33",2000,"9/13/17","16:51:24","4 days","15:50:14","Yes","Album Review","4 to 5 days",100000005426030
"Science","Matter: Climate Change Threatens the World's Parasites (That's Not Good)","https://www.nytimes.com/2017/09/13/science/parasites-extinction-climate-change.html","Carl Zimmer","9/18/17","08:41:33",2000,"9/13/17","18:51:30","4 days","13:50:08","Yes","Matter","4 to 5 days",100000005423118
"World","The Breakdown: Clown Hysteria Grips Australian Media After Group Vows to Descend on Suburbs","https://www.nytimes.com/2017/09/14/world/australia/clown-craze-australia.html","Isabella Kwai","9/18/17","21:44:11",2000,"9/14/17","19:00:17","4 days","2:43:54","Yes","The Breakdown","4 to 5 days",100000005430297
"World","Letter 25: It's Not About Marriage. It's About Gender.","https://www.nytimes.com/2017/09/14/world/australia/its-not-about-same-sex-marriage-its-about-gender.html","Damien Cave","9/18/17","21:44:11",1500,"9/14/17","23:59:05","3 days","21:45:06","Yes","Letter 25","3 to 4 days",100000005430062
"Arts","Cover Story: Jon Hamm's Second Act","https://www.nytimes.com/2017/09/14/style/what-is-jon-hamm-doing-now.html","Jim Windolf","9/17/17","23:40:37",1500,"9/14/17","04:00:01","3 days","19:40:36","Yes","Cover Story","3 to 4 days",100000005421157
"Science","Trilobites: Testing an Electric Eel's Shock Powers With His Own Arm","https://www.nytimes.com/2017/09/14/science/electric-eels-shock.html","JoAnna Klein","9/18/17","10:57:52",1500,"9/14/17","16:00:27","3 days","18:57:25","Yes",Trilobites","3 to 4 days",100000005429092
"Arts","A Police Bombing, Homes on Fire and an Opera That Grapples With It All","https://www.nytimes.com/2017/09/15/arts/music/move-bombing-opera-philadelphia-bill-t-jones.html","Salamishah Tillet","9/18/17","21:44:11",1500,"9/15/17","15:29:05","3 days","6:15:06","No","None","3 to 4 days",100000005425791
"Health","Five Tips for Choosing a Reliable Nursing Home","https://www.nytimes.com/2017/09/14/health/nursing-home-safety.html","Katie Thomas","9/18/17","18:27:53",1500,"9/15/17","16:17:12","3 days","02:10:41","No","None","3 to 4 days",100000005431958
"Arts","He Puts Bill Maher on TV, and Jefferson, Dickens and Tolstoy on Stage","https://www.nytimes.com/2017/09/15/theater/scott-carter-gospel-according-to-thomas-jefferson-charles-dickens-and-count-leo-tolstoy-discord.html","Dave Itzkoff","9/18/17","08:41:33",1000,"9/15/17","09:00:25","2 days","23:41:13","No","None","2 to 3 days",100000005409575
"U.S.","F.Y.I.: Manhattan's Confusing Avenue Addresses","https://www.nytimes.com/2017/09/15/nyregion/manhattans-confusing-avenue-addresses.html","Keith Williams","9/18/17","21:44:11",1000,"9/15/17","23:21:49","2 days","22:22:22","Yes","F.Y.I","2 to 3 days",100000005254541
"Business","Loose Ends: More Jokes From Martin Shkreli","https://www.nytimes.com/2017/09/15/opinion/sunday/martin-shkreli-jokes.html","Alison Leiby","9/18/17","21:44:11",1000,"9/16/17","02:34:14","2 days","19:09:57","Yes","Loose Ends","2 to 3 days",100000005433984
"Arts","A Starburst Is Born: Watch the Building of the Metropolitan Opera","https://www.nytimes.com/2017/09/15/arts/music/metropolitan-opera-documentary.html","Michael Cooper","9/18/17","08:41:33",1000,"9/15/17","15:06:22","2 days","17:35:16","No","None","2 to 3 days",100000005414740
"Health","Gut Bacteria May Be Key to Weight Loss","https://www.nytimes.com/2017/09/15/well/live/gut-bacteria-may-be-key-to-weight-loss.html","Nicholas Bakalar","9/18/17","08:41:33",1000,"9/15/17","20:32:49","2 days","12:08:49","No","None","2 to 3 days",100000005431358
"Sports","Knife-Throwing as a Sport: Who Would Have Thunk It?","https://www.nytimes.com/2017/09/15/sports/knife-throwing-sport.html","Pete Croatto","9/18/17","08:41:33",1000,"9/15/17","23:13:44","2 days","09:27:54","No","None","2 to 3 days",100000005420194
"Arts","Vows: Two Pastors in Love, and Only God Knows","https://www.nytimes.com/2017/09/15/fashion/weddings/two-same-sex-pastors-in-love-and-only-god-knows.html","Vincent M. Mallozzi","9/17/17","23:40:37",1000,"9/15/17","17:03:08","2 days","06:37:29","Yes","Vows","2 to 3 days",100000005360592
"U.S.","Opinion: Is Nothing Funny, Mr. President?","https://www.nytimes.com/2017/09/16/opinion/sunday/trump-does-not-laugh.html","David Litt","9/18/17","21:44:11",1000,"9/16/17","18:30:13","2 days,"03:13:58","Yes","Opinion","2 to 3 days",100000005429659
"World","Catering to Commuters at a Tijuana Border Crossing","https://www.nytimes.com/video/world/americas/100000005358680/catering-to-commuters-at-a-tijuana-border-crossing.html","Not Available","9/18/17","08:41:33",1000,"9/17/17","09:00:01","1 day","23:41:37","No","None","1 to 2 days",100000005358680
"World","Britain Lowers Threat Level After Arrest of 2nd Man in London Subway Bombing","https://www.nytimes.com/2017/09/17/world/europe/uk-london-subway-bombing.html","Ceylan Yeginsu","9/18/17","21:44:11",500,"9/17/17","22:08:46","1 day","23:35:25","No","None","1 to 2 days",100000005436167
"U.S.","The Look: An Ode to Acts of Kindness on the New York City Subway","https://www.nytimes.com/2017/09/16/style/an-ode-to-acts-of-kindness-on-the-new-york-city-subway.html","Andre Wagner et al.","9/18/17","08:41:33",500,"9/16/17","10:00:47","1 day","22:40:51","Yes","The Look","1 to 2 days",100000005422064
"World","When U.N. Envoy Nikki Haley Talks, Does President Trump Listen?","https://www.nytimes.com/2017/09/17/world/americas/nikki-haley-un-trump.html","Somini Sengupta","9/18/17","21:44:11",500,"9/17/17","23:18:40","1 day","22:25:31","No","None","1 to 2 days",100000005435936
"Business","Ask Real Estate: Facing a Brick Wall and Wondering How to Make it Bearable","https://www.nytimes.com/2017/09/16/realestate/facing-a-brick-wall-and-wondering-how-to-make-it-bearable.html","Ronda Kaysen","9/18/17","11:46:04",500,"9/16/17","14:00:01","1 day","21:46:03","Yes","Ask Real Estate","1 to 2 days",100000005402498
"World","News Analysis: The Big Question as the U.N. Gathers: What to Make of Trump?","https://www.nytimes.com/2017/09/16/world/americas/the-big-question-as-the-un-gathers-what-to-make-of-trump.html","Peter Baker","9/18/17","16:33:48",500,"9/16/17","18:55:38","1 day","21:38:10","Yes","News Analysis","1 to 2 days",100000005435272
"U.S.","When the Rescuers Come From Across the Country","https://www.nytimes.com/2017/09/17/us/irma-fema-rescue-florida-keys.html","Alan Blinder","9/18/17","18:27:53",500,"9/17/17","21:03:32","1 day","21:24:21","No","None","1 to 2 days",100000005431302
"Business","Why Are Drug Prices So High? We're Curious, Too","https://www.nytimes.com/2017/09/17/insider/insider-high-drug-prices-opioids.html","Katie Thomas et al. ","9/18/17","18:27:53",500,"9/17/17","23:05:01","1 day","19:22:52","No","None","1 to 2 days",100000005434654
"U.S.","His Home Flooded, the Port Arthur Mayor Puts His City First","https://www.nytimes.com/2017/09/17/us/harvey-port-arthur-mayor.html","Rick Rojas","9/18/17","18:27:53",500,"9/17/17M","23:31:37","1 day","18:56:16","No","None","1 to 2 days",100000005413352
"World","Now It's Hurricane Maria, and Caribbean Braces for New Hit","https://www.nytimes.com/2017/09/17/world/americas/hurricane-maria-caribbean.html","Kirk Semple et al.","9/18/17","18:27:53",500,"9/17/17","23:40:11","1 day","18:47:42","No","None","1 to 2 days",100000005437280
"U.S.","Tillerson Says U.S. May Close Cuba Embassy Over Mystery Ailments","https://www.nytimes.com/2017/09/17/us/politics/tillerson-cuba-embassy.html","Gardiner Harris","9/18/17","16:33:48",500,"9/17/17","22:42:29","1 day","17:51:19","No","None","1 to 2 days",100000005437219
"World","Kuwait to Expel North Korean Ambassador, Other Diplomats","https://www.nytimes.com/aponline/2017/09/17/world/middleeast/ap-north-korea-gulf.html","Associated Press","9/18/17","03:30:52",500,"9/17/17","09:42:41","1 day","17:48:11","No","None","1 to 2 days",100000005436315
"World","What We're Watching at This Year's United Nations General Assembly","https://www.nytimes.com/2017/09/17/world/americas/united-nations-general-assembly-issues.html","Somini Sengupta et al.","9/18/17","16:33:48",500,"9/17/17","23:11:51","1 day","17:21:57","No","None","1 to 2 days",100000005431797
"World","Walking the Line Between Covering a Rohingya Refugee Story and Changing It","https://www.nytimes.com/2017/09/17/insider/covering-rohingya-refugees-myanmar.html","Hannah Beech","9/18/17","09:49:57",500,"9/17/17","16:30:05","1 day","17:19:52","No","None","1 to 2 days",100000005433321
"U.S.","Protests Flare in St. Louis for Second Night After Ex-Officer's Acquittal","https://www.nytimes.com/2017/09/16/us/st-louis-protests-jason-stockley.html","Tim O'neil et al.","9/18/17","00:40:29",500,"9/17/17","13:17:22","1 day","11:23:07","No","None","1 to 2 days",100000005435485
"U.S.","Saint's Tour Arrives in New York to Fanfare From the Faithful","https://www.nytimes.com/2017/09/17/nyregion/padre-pio-st-patricks-cathedral.html","Sarah Maslin","9/18/17","08:41:38",500,"9/17/17","22:43:46","1 day","9:57:52","No","None","1 to 2 days",100000005437130
"Science","Trilobites: Three Planets Will Slide Behind the Moon in an Occultation","https://www.nytimes.com/2017/09/17/science/occultation-moon-mars-venus-mercury.html","Nicholas St. Fleur","9/18/17","21:44:11",500,"9/17/17","13:53:05","1 day","7:51:06","Yes","Trilobites","1 to 2 days",100000005434522
"Science","The Snow Leopard Is No Longer Endangered. It's Still at Risk.","https://www.nytimes.com/2017/09/15/science/snow-leopard-endangered.html","Christine Hause","9/18/17","21:44:11",500,"9/17/17","14:55:41","1 day","6:48:30","No","None","1 to 2 days",100000005433539
"U.S.","Cake Is His Art. So Can He Deny One to a Gay Couple?","https://www.nytimes.com/2017/09/16/us/supreme-court-baker-same-sex-marriage.html","Adam Liptak","9/17/17","23:40:37",500,"9/16/17","16:52:49","1 day","06:47:48","No","None","1 to 2 days",100000005400773
"Business","What's Selling Now: Homes That Sold for Around $600,000","https://www.nytimes.com/2017/09/17/realestate/homes-that-sold-for-around-600000.html","C. J. Hughes ","9/18/17","15:25:21",500,"9/17/17","09:00:36","1 day","06:24:45","Yes","What's Selling Now","1 to 2 days",100000005411974
"Arts","Men, Women, Cinema No Longer the Same Old Story","https://www.nytimes.com/2017/09/15/movies/toronto-international-film-festival-lady-bird-i-love-you-daddy.html","Manohla Dargis","9/18/17","18:27:53",500,"9/17/17","14:24:30","1 day","04:03:23","No","None","1 to 2 days",100000005426962
"U.S.","Restoring Eleanor Roosevelt's Childhood Home on the Hudson","https://www.nytimes.com/2017/09/17/nyregion/eleanor-roosevelt-childhood-home-oak-terrace.html","William Shannon","9/18/17","01:20:52",500,"9/17/17","22:02:58","1 day","03:17:54","No","None","1 to 2 days",1000000054382333
"World","The United Nations Explained: Its Purpose, Power and Problems","https://www.nytimes.com/2017/09/17/world/americas/united-nations-un-explainer.html","Somini Sengupta","9/18/17","01:20:52",500,"9/17/17",22:53:27","1 day","02:27:25","No","None","1 to 2 days",100000005433477
"U.S.","Nursing Home Deaths Prompt New Rules by Florida Governor","https://www.nytimes.com/2017/09/16/us/nursing-homes-florida-scott.html","Sheri Fink et al.","9/18/17","03:30:52",500,"9/17/17","02:31:23","1 day","00:59:29","No","None","1 to 2 days",100000005435809
"Arts","Q. & A.: Tell Us 5 Things About Your Book: The Ways We Inherit Historical Traumas","https://www.nytimes.com/2017/09/17/books/elizabeth-rosner-survivor-cafe.html","John Williams","9/18/17","21:44:11",500,"9/17/17","21:00:13","1 day","00:43:58","Yes","Q. & A.","1 to 2 days",100000005431582
"U.S.","Saved From Harvey's Floodwaters, Twice. So How Did She End Up Dead?","https://www.nytimes.com/2017/09/16/us/hurricane-harvey-houston-wilma-ellis.html","Shaila Dewan","9/17/17","23:40:37",250,"9/17/17","01:21:25","0 days","22:19:12","No","None","Less than 1 day",100000005431385
"U.S.","Trump Administration Moves to Open Arctic Refuge to Drilling Studies","https://www.nytimes.com/2017/09/16/climate/trump-arctic-refuge-drilling.html","Lisa Friedman","9/17/17","23:40:37",250,"9/17/17","02:16:30","0 days","22:19:12","No","None","Less than 1 day",100000005435699
