Id,Start,End,Title,Link,kicker,Category,Type,Authors,PubType
100000005148449,Sun-9-17-2017-6PM,Sun-9-17-2017-8PM,How Junk Food is Transforming Brazil,https://www.nytimes.com/video/international-home/100000005148449/junk-food-upriver-tbd.html,None,World,video,None,Removed
100000005358680,Sun-9-17-2017-6PM,Mon-9-18-2017-5AM,Catering to Commuters at a Tijuana Border Crossing,https://www.nytimes.com/video/world/americas/100000005358680/catering-to-commuters-at-a-tijuana-border-crossing.html,None,World,video,None,Removed
100000005360592,Sun-9-17-2017-6PM,Sun-9-17-2017-8PM,"Vows: Two Pastors in Love, and Only God Knows",https://www.nytimes.com/2017/09/15/fashion/weddings/two-same-sex-pastors-in-love-and-only-god-knows.html,Vows,Style,article,[ Vincent M. Mallozzi -],Removed
100000005382333,Sun-9-17-2017-6PM,Sun-9-17-2017-10PM,Restoring Eleanor Roosevelt̢����s Childhood Home on the Hudson,https://www.nytimes.com/2017/09/17/nyregion/eleanor-roosevelt-childhood-home-oak-terrace.html,None,U.S.,article,[ William Shannon -],Removed
100000005400773,Sun-9-17-2017-6PM,Sun-9-17-2017-8PM,Cake Is His ���Art.�۪ So Can He Deny One to a Gay Couple?,https://www.nytimes.com/2017/09/16/us/supreme-court-baker-same-sex-marriage.html,None,U.S.,article,[ Adam Liptak -],Removed
100000005402498,Sun-9-17-2017-6PM,Mon-9-18-2017-8AM,Ask Real Estate: Facing a Brick Wall and Wondering How to Make it Bearable,https://www.nytimes.com/2017/09/16/realestate/facing-a-brick-wall-and-wondering-how-to-make-it-bearable.html,Ask Real Estate,Real Estate,article,[ Ronda Kaysen -],Removed
100000005409575,Sun-9-17-2017-6PM,Mon-9-18-2017-5AM,"He Puts Bill Maher on TV, and Jefferson, Dickens and Tolstoy on Stage",https://www.nytimes.com/2017/09/15/theater/scott-carter-gospel-according-to-thomas-jefferson-charles-dickens-and-count-leo-tolstoy-discord.html,None,Arts,article,[ Dave Itzkoff -],Removed
100000005411682,Sun-9-17-2017-6PM,Sun-9-17-2017-8PM,The Holocaust Museum Sought Lessons on Syria. What It Got Was a Political Backlash.,https://www.nytimes.com/2017/09/17/arts/holocaust-museum-study-syria.html,None,Arts,article,[ Sopan Deb - Max Fisher -],Removed
100000005413352,Sun-9-17-2017-6PM,Mon-9-18-2017-3PM,"His Home Flooded, the Port Arthur Mayor Puts His City First",https://www.nytimes.com/2017/09/17/us/harvey-port-arthur-mayor.html,None,U.S.,article,[ Rick Rojas -],Removed
100000005414740,Sun-9-17-2017-6PM,Mon-9-18-2017-5AM,A Starburst Is Born: Watch the Building of the Metropolitan Opera,https://www.nytimes.com/2017/09/15/arts/music/metropolitan-opera-documentary.html,None,Arts,article,[ Michael Cooper -],Removed
100000005416074,Sun-9-17-2017-6PM,Mon-9-18-2017-12PM,Rohingya Militants Vow to Fight Myanmar Despite Disastrous Cost,https://www.nytimes.com/2017/09/17/world/asia/myanmar-rohingya-militants.html,None,World,article,[ Hannah Beech -],Removed
100000005421157,Sun-9-17-2017-6PM,Sun-9-17-2017-8PM,Cover Story: Jon Hamm�۪s Second Act,https://www.nytimes.com/2017/09/14/style/what-is-jon-hamm-doing-now.html,Cover Story,Style,article,[ Jim Windolf -],Removed
100000005422064,Sun-9-17-2017-6PM,Mon-9-18-2017-5AM,The Look: An Ode to Acts of Kindness on the New York City Subway,https://www.nytimes.com/2017/09/16/style/an-ode-to-acts-of-kindness-on-the-new-york-city-subway.html,The Look,Style,article,[ Andre Wagner - Joanna Nikas - Eve Lyons -],Removed
100000005423118,Sun-9-17-2017-6PM,Mon-9-18-2017-5AM,Matter: Climate Change Threatens the World�۪s Parasites (That�۪s Not Good),https://www.nytimes.com/2017/09/13/science/parasites-extinction-climate-change.html,Matter,Science,article,[ Carl Zimmer -],Removed
